Dromaius novaehollandiae
Dendrocygna bicolor
Oxyura jamaicensis
Cygnus olor
Cygnus atratus
Cygnus columbianus
Cygnus cygnus
Branta bernicla
Branta canadensis
Branta leucopsis
Branta hutchinsii
Anser indicus
Anser anser
Anser cygnoides
Anser albifrons
Anser serrirostris
Callonetta leucophrys
Cairina moschata
Aix galericulata
Aix sponsa
Alopochen aegyptiaca
Tadorna tadorna
Tadorna ferruginea
Clangula hyemalis
Melanitta nigra
Bucephala clangula
Mergellus albellus
Mergus serrator
Mergus merganser
Sarkidiornis melanotos
Netta rufina
Netta peposaca
Aythya nyroca
Aythya ferina
Aythya fuligula
Aythya marila
Spatula querquedula
Spatula discors
Spatula clypeata
Mareca strepera
Mareca penelope
Mareca sibilatrix
Anas platyrhynchos
Anas bahamensis
Anas acuta
Anas crecca
Numida meleagris
Perdix perdix
Syrmaticus reevesii
Chrysolophus pictus
Phasianus colchicus
Pavo cristatus
Gallus gallus
Coturnix coturnix
Tachybaptus ruficollis
Podiceps grisegena
Podiceps cristatus
Podiceps nigricollis
Cuculus canorus
Streptopelia turtur
Streptopelia decaocto
Columba palumbus
Columba livia
Columba oenas
Geopelia cuneata
Grus grus
Rallus aquaticus
Porzana porzana
Gallinula chloropus
Fulica atra
Burhinus oedicnemus
Recurvirostra avosetta
Himantopus himantopus
Haematopus ostralegus
Pluvialis squatarola
Pluvialis apricaria
Eudromias morinellus
Charadrius hiaticula
Thinornis dubius
Vanellus vanellus
Numenius phaeopus
Numenius arquata
Limosa limosa
Lymnocryptes minimus
Scolopax rusticola
Gallinago gallinago
Actitis hypoleucos
Tringa ochropus
Tringa glareola
Tringa totanus
Tringa erythropus
Tringa nebularia
Calidris pugnax
Calidris ferruginea
Calidris temminckii
Calidris alpina
Hydroprogne caspia
Chlidonias niger
Sterna hirundo
Hydrocoloeus minutus
Xema sabini
Chroicocephalus ridibundus
Ichthyaetus melanocephalus
Larus canus
Larus cachinnans
Larus argentatus
Larus michahellis
Larus marinus
Larus fuscus
Larus glaucoides
Ciconia nigra
Ciconia ciconia
Microcarbo pygmaeus
Gulosus aristotelis
Phalacrocorax carbo
Eudocimus ruber
Plegadis falcinellus
Platalea leucorodia
Threskiornis aethiopicus
Botaurus stellaris
Botaurus minutus
Egretta garzetta
Nycticorax nycticorax
Ardeola ralloides
Ardea alba
Ardea ibis
Ardea purpurea
Ardea cinerea
Tachymarptis melba
Apus apus
Apus pallidus
Tyto alba
Athene noctua
Asio flammeus
Asio otus
Bubo bubo
Strix aluco
Pandion haliaetus
Elanus caeruleus
Neophron percnopterus
Pernis apivorus
Gyps fulvus
Circaetus gallicus
Aquila heliaca
Accipiter nisus
Astur gentilis
Circus macrourus
Circus cyaneus
Circus pygargus
Circus aeruginosus
Milvus milvus
Milvus migrans
Haliaeetus albicilla
Buteo lagopus
Buteo buteo
Upupa epops
Merops apiaster
Alcedo atthis
Jynx torquilla
Picus viridis
Dryocopus martius
Dendrocoptes medius
Dendrocopos major
Dryobates minor
Falco tinnunculus
Falco vespertinus
Falco columbarius
Falco subbuteo
Falco peregrinus
Nymphicus hollandicus
Eolophus roseicapilla
Myiopsitta monachus
Pyrrhura perlata
Psittacula eupatria
Psittacula krameri
Platycercus eximius
Agapornis fischeri
Melopsittacus undulatus
Oriolus oriolus
Lanius excubitor
Lanius collurio
Garrulus glandarius
Pica pica
Nucifraga caryocatactes
Coloeus monedula
Corvus frugilegus
Corvus corax
Corvus corone
Remiz pendulinus
Cyanistes caeruleus
Parus major
Periparus ater
Lophophanes cristatus
Poecile palustris
Poecile montanus
Panurus biarmicus
Lullula arborea
Alauda arvensis
Galerida cristata
Eremophila alpestris
Hippolais icterina
Hippolais polyglotta
Acrocephalus schoenobaenus
Acrocephalus palustris
Acrocephalus scirpaceus
Acrocephalus arundinaceus
Locustella luscinioides
Locustella naevia
Riparia riparia
Hirundo rustica
Delichon urbicum
Aegithalos caudatus
Cettia cetti
Phylloscopus sibilatrix
Phylloscopus inornatus
Phylloscopus humei
Phylloscopus trochilus
Phylloscopus collybita
Sylvia borin
Sylvia atricapilla
Curruca curruca
Curruca communis
Bombycilla garrulus
Regulus ignicapilla
Regulus regulus
Sitta europaea
Certhia familiaris
Certhia brachydactyla
Troglodytes troglodytes
Sturnus vulgaris
Pastor roseus
Acridotheres ginginianus
Turdus viscivorus
Turdus philomelos
Turdus iliacus
Turdus merula
Turdus pilaris
Turdus torquatus
Muscicapa striata
Erithacus rubecula
Luscinia megarhynchos
Luscinia svecica
Ficedula hypoleuca
Phoenicurus ochruros
Phoenicurus phoenicurus
Saxicola rubetra
Saxicola rubicola
Oenanthe oenanthe
Taeniopygia guttata
Prunella modularis
Passer montanus
Passer domesticus
Motacilla cinerea
Motacilla flava
Motacilla alba
Anthus campestris
Anthus richardi
Anthus trivialis
Anthus cervinus
Anthus pratensis
Anthus spinoletta
Fringilla montifringilla
Fringilla coelebs
Coccothraustes coccothraustes
Pyrrhula pyrrhula
Chloris chloris
Linaria flavirostris
Linaria cannabina
Acanthis flammea
Loxia curvirostra
Carduelis carduelis
Serinus canaria
Serinus serinus
Spinus spinus
Plectrophenax nivalis
Emberiza schoeniclus
Emberiza calandra
Emberiza hortulana
Emberiza leucocephalos
Emberiza citrinella
Cardinalis cardinalis
